Instance,Variables,Precision_Bits,Status,Phys_Time_ns,Complexity_BitOps
uf75-04.cnf,75,2,TIMEOUT,N/A,3.90e+08
uf75-04.cnf,75,4,SUCCESS,118.38,4.62e+05
uf75-04.cnf,75,8,SUCCESS,23.7,1.85e+05
uf75-04.cnf,75,16,SUCCESS,25.16,3.93e+05
uf75-04.cnf,75,32,TIMEOUT,N/A,1.62e+08
uf75-05.cnf,75,1,TIMEOUT,N/A,1.95e+08
uf75-05.cnf,75,2,TIMEOUT,N/A,3.90e+08
uf75-05.cnf,75,4,SUCCESS,40.05,1.56e+05
uf75-05.cnf,75,8,SUCCESS,1777.46,1.39e+07
uf75-05.cnf,75,16,SUCCESS,26.31,4.11e+05
uf75-05.cnf,75,32,SUCCESS,53.75,1.68e+06
uf250-01.cnf,250,1,TIMEOUT,N/A,6.39e+08
uf250-01.cnf,250,2,TIMEOUT,N/A,1.28e+09
uf250-01.cnf,250,4,SUCCESS,469.23,6.00e+06
uf250-01.cnf,250,8,SUCCESS,209.36,5.35e+06
uf250-01.cnf,250,16,SUCCESS,482.81,2.47e+07
uf250-01.cnf,250,32,SUCCESS,58.47,5.98e+06
uf250-02.cnf,250,1,TIMEOUT,N/A,6.39e+08
uf250-02.cnf,250,2,TIMEOUT,N/A,1.28e+09
uf250-02.cnf,250,4,SUCCESS,220.23,2.81e+06
uf250-02.cnf,250,8,TIMEOUT,N/A,2.26e+08
uf250-02.cnf,250,16,TIMEOUT,N/A,4.63e+08
uf250-02.cnf,250,32,TIMEOUT,N/A,1.25e+09
uf250-03.cnf,250,1,TIMEOUT,N/A,6.39e+08
uf250-03.cnf,250,2,TIMEOUT,N/A,1.28e+09
uf250-03.cnf,250,4,TIMEOUT,N/A,7.12e+07
uf250-03.cnf,250,8,TIMEOUT,N/A,2.88e+08
uf250-03.cnf,250,16,SUCCESS,10332.99,5.28e+08
uf250-03.cnf,250,32,TIMEOUT,N/A,1.30e+09
uf250-04.cnf,250,1,TIMEOUT,N/A,6.39e+08
uf250-04.cnf,250,2,TIMEOUT,N/A,1.28e+09
uf250-04.cnf,250,4,TIMEOUT,N/A,9.82e+07
uf250-04.cnf,250,8,SUCCESS,433.49,1.11e+07
uf250-04.cnf,250,16,SUCCESS,205.65,1.05e+07
uf250-04.cnf,250,32,SUCCESS,274.61,2.81e+07
uf250-05.cnf,250,1,TIMEOUT,N/A,6.39e+08
uf250-05.cnf,250,2,TIMEOUT,N/A,1.28e+09
uf250-05.cnf,250,4,SUCCESS,302.29,3.86e+06
uf250-05.cnf,250,8,TIMEOUT,N/A,3.17e+08
uf250-05.cnf,250,16,SUCCESS,3218.26,1.65e+08
uf250-05.cnf,250,32,TIMEOUT,N/A,1.18e+09
uf250-06.cnf,250,1,TIMEOUT,N/A,6.39e+08
uf250-06.cnf,250,2,TIMEOUT,N/A,1.28e+09
uf250-06.cnf,250,4,SUCCESS,2027.61,2.59e+07
uf250-06.cnf,250,8,SUCCESS,483.95,1.24e+07
uf250-06.cnf,250,16,SUCCESS,1066.07,5.45e+07
uf250-06.cnf,250,32,SUCCESS,1054.41,1.08e+08
uf250-07.cnf,250,1,TIMEOUT,N/A,6.39e+08
uf250-07.cnf,250,2,TIMEOUT,N/A,1.28e+09
uf250-07.cnf,250,4,TIMEOUT,N/A,1.07e+08
uf250-07.cnf,250,8,TIMEOUT,N/A,3.05e+08
uf250-07.cnf,250,16,SUCCESS,6771.7,3.46e+08
uf250-07.cnf,250,32,SUCCESS,254.7,2.60e+07
uf250-08.cnf,250,1,TIMEOUT,N/A,6.39e+08
uf250-08.cnf,250,2,TIMEOUT,N/A,1.28e+09
uf250-08.cnf,250,4,SUCCESS,178.66,2.28e+06
uf250-08.cnf,250,8,SUCCESS,4538.73,1.16e+08
uf250-08.cnf,250,16,SUCCESS,331.49,1.69e+07
uf250-08.cnf,250,32,SUCCESS,721.99,7.38e+07
uf250-09.cnf,250,1,TIMEOUT,N/A,6.39e+08
uf250-09.cnf,250,2,TIMEOUT,N/A,1.28e+09
uf250-09.cnf,250,4,TIMEOUT,N/A,9.34e+07
uf250-09.cnf,250,8,TIMEOUT,N/A,3.27e+08
uf250-09.cnf,250,16,SUCCESS,1755.92,8.98e+07
uf250-09.cnf,250,32,TIMEOUT,N/A,1.25e+09
uf250-010.cnf,250,1,TIMEOUT,N/A,6.39e+08
uf250-010.cnf,250,2,TIMEOUT,N/A,1.28e+09
uf250-010.cnf,250,4,TIMEOUT,N/A,1.17e+08
uf250-010.cnf,250,8,TIMEOUT,N/A,3.35e+08
uf250-010.cnf,250,16,SUCCESS,782.35,4.00e+07
uf250-010.cnf,250,32,SUCCESS,2255.5,2.31e+08
